agent_id,t_step,key,value
env,0,SEED,NoneMyExampleSimulation_trial_0
0,0,prob_neighbor_spread,0.2
0,0,prob_search_spread,0.2
0,0,prob_be_infected,0.3
0,0,id,not_exposed
1,0,prob_neighbor_spread,0.4
1,0,prob_search_spread,0.4
1,0,prob_be_infected,0.4
2,0,prob_neighbor_spread,0.2
2,0,prob_search_spread,0.2
2,0,prob_be_infected,0.3
2,0,id,not_exposed
3,0,prob_neighbor_spread,0.4
3,0,prob_search_spread,0.4
3,0,prob_be_infected,0.4
4,0,prob_neighbor_spread,0.1
4,0,prob_search_spread,0.1
4,0,prob_be_infected,0.2
4,0,id,not_exposed
5,0,prob_neighbor_spread,0.2
5,0,prob_search_spread,0.2
5,0,prob_be_infected,0.3
5,0,id,not_exposed
6,0,prob_neighbor_spread,0.4
6,0,prob_search_spread,0.4
6,0,prob_be_infected,0.4
6,0,id,not_exposed
7,0,prob_neighbor_spread,0.4
7,0,prob_search_spread,0.4
7,0,prob_be_infected,0.4
8,0,prob_neighbor_spread,0.4
8,0,prob_search_spread,0.4
8,0,prob_be_infected,0.4
9,0,prob_neighbor_spread,0.4
9,0,prob_search_spread,0.4
9,0,prob_be_infected,0.4
9,0,id,not_exposed
10,0,prob_neighbor_spread,0.1
10,0,prob_search_spread,0.1
10,0,prob_be_infected,0.2
10,0,id,not_exposed
11,0,prob_neighbor_spread,0.1
11,0,prob_search_spread,0.1
11,0,prob_be_infected,0.2
11,0,id,not_exposed
12,0,prob_neighbor_spread,0.2
12,0,prob_search_spread,0.2
12,0,prob_be_infected,0.3
12,0,id,not_exposed
13,0,prob_neighbor_spread,0.1
13,0,prob_search_spread,0.1
13,0,prob_be_infected,0.2
13,0,id,not_exposed
14,0,prob_neighbor_spread,0.1
14,0,prob_search_spread,0.1
14,0,prob_be_infected,0.2
14,0,id,not_exposed
15,0,prob_neighbor_spread,0.1
15,0,prob_search_spread,0.1
15,0,prob_be_infected,0.2
15,0,id,not_exposed
16,0,prob_neighbor_spread,0.1
16,0,prob_search_spread,0.1
16,0,prob_be_infected,0.2
16,0,id,not_exposed
17,0,prob_neighbor_spread,0.1
17,0,prob_search_spread,0.1
17,0,prob_be_infected,0.2
17,0,id,not_exposed
18,0,prob_neighbor_spread,0.1
18,0,prob_search_spread,0.1
18,0,prob_be_infected,0.2
18,0,id,not_exposed
19,0,prob_neighbor_spread,0.2
19,0,prob_search_spread,0.2
19,0,prob_be_infected,0.3
19,0,id,not_exposed
20,0,prob_neighbor_spread,0.2
20,0,prob_search_spread,0.2
20,0,prob_be_infected,0.3
21,0,prob_neighbor_spread,0.4
21,0,prob_search_spread,0.4
21,0,prob_be_infected,0.4
21,0,id,not_exposed
22,0,prob_neighbor_spread,0.4
22,0,prob_search_spread,0.4
22,0,prob_be_infected,0.4
22,0,id,not_exposed
23,0,prob_neighbor_spread,0.2
23,0,prob_search_spread,0.2
23,0,prob_be_infected,0.3
23,0,id,not_exposed
24,0,prob_neighbor_spread,0.2
24,0,prob_search_spread,0.2
24,0,prob_be_infected,0.3
25,0,prob_neighbor_spread,0.4
25,0,prob_search_spread,0.4
25,0,prob_be_infected,0.4
26,0,prob_neighbor_spread,0.2
26,0,prob_search_spread,0.2
26,0,prob_be_infected,0.3
26,0,id,not_exposed
27,0,prob_neighbor_spread,0.4
27,0,prob_search_spread,0.4
27,0,prob_be_infected,0.4
27,0,id,not_exposed
28,0,prob_neighbor_spread,0.1
28,0,prob_search_spread,0.1
28,0,prob_be_infected,0.2
28,0,id,not_exposed
29,0,prob_neighbor_spread,0.2
29,0,prob_search_spread,0.2
29,0,prob_be_infected,0.3
29,0,id,not_exposed
30,0,prob_neighbor_spread,0.2
30,0,prob_search_spread,0.2
30,0,prob_be_infected,0.3
30,0,id,not_exposed
31,0,prob_neighbor_spread,0.4
31,0,prob_search_spread,0.4
31,0,prob_be_infected,0.4
31,0,id,not_exposed
32,0,prob_neighbor_spread,0.4
32,0,prob_search_spread,0.4
32,0,prob_be_infected,0.4
33,0,prob_neighbor_spread,0.4
33,0,prob_search_spread,0.4
33,0,prob_be_infected,0.4
33,0,id,not_exposed
34,0,prob_neighbor_spread,0.1
34,0,prob_search_spread,0.1
34,0,prob_be_infected,0.2
34,0,id,not_exposed
35,0,prob_neighbor_spread,0.4
35,0,prob_search_spread,0.4
35,0,prob_be_infected,0.4
36,0,prob_neighbor_spread,0.4
36,0,prob_search_spread,0.4
36,0,prob_be_infected,0.4
36,0,id,not_exposed
37,0,prob_neighbor_spread,0.2
37,0,prob_search_spread,0.2
37,0,prob_be_infected,0.3
37,0,id,not_exposed
38,0,prob_neighbor_spread,0.1
38,0,prob_search_spread,0.1
38,0,prob_be_infected,0.2
38,0,id,not_exposed
39,0,prob_neighbor_spread,0.4
39,0,prob_search_spread,0.4
39,0,prob_be_infected,0.4
39,0,id,not_exposed
40,0,prob_neighbor_spread,0.4
40,0,prob_search_spread,0.4
40,0,prob_be_infected,0.4
40,0,id,not_exposed
41,0,prob_neighbor_spread,0.4
41,0,prob_search_spread,0.4
41,0,prob_be_infected,0.4
41,0,id,not_exposed
42,0,prob_neighbor_spread,0.4
