agent_id,t_step,key,value
env,0,SEED,NoneMyExampleSimulation_trial_0
0,0,prob_neighbor_spread,0.5
0,0,type,1
0,0,agent_type,TweetSpread.OpinionLeader
0,0,label,0
0,0,id,infected
1,0,prob_neighbor_spread,0.3
1,0,type,2
1,0,agent_type,TweetSpread.Bot
1,0,label,1
1,0,id,infected
2,0,prob_neighbor_spread,0.1
2,0,prob_search_spread,0.1
2,0,prob_be_infected,0.25
2,0,infected_type,0
2,0,id,not_exposed
3,0,prob_neighbor_spread,0.1
3,0,prob_search_spread,0.1
3,0,prob_be_infected,0.25
4,0,prob_neighbor_spread,0.1
4,0,prob_search_spread,0.1
4,0,prob_be_infected,0.25
4,0,infected_type,0
4,0,id,not_exposed
5,0,prob_neighbor_spread,0.1
5,0,prob_search_spread,0.1
5,0,prob_be_infected,0.25
5,0,infected_type,0
5,0,id,not_exposed
6,0,prob_neighbor_spread,0.1
6,0,prob_search_spread,0.1
6,0,prob_be_infected,0.25
6,0,infected_type,0
6,0,id,not_exposed
7,0,prob_neighbor_spread,0.1
7,0,prob_search_spread,0.1
7,0,prob_be_infected,0.25
7,0,infected_type,0
7,0,id,not_exposed
8,0,prob_neighbor_spread,0.1
8,0,prob_search_spread,0.1
8,0,prob_be_infected,0.25
9,0,prob_neighbor_spread,0.1
9,0,prob_search_spread,0.1
9,0,prob_be_infected,0.25
10,0,prob_neighbor_spread,0.3
10,0,type,2
10,0,agent_type,TweetSpread.Bot
10,0,label,10
10,0,id,infected
11,0,prob_neighbor_spread,0.1
11,0,prob_search_spread,0.1
11,0,prob_be_infected,0.25
11,0,infected_type,0
11,0,id,not_exposed
12,0,prob_neighbor_spread,0.1
12,0,prob_search_spread,0.1
12,0,prob_be_infected,0.25
12,0,infected_type,0
12,0,id,not_exposed
13,0,prob_neighbor_spread,0.1
13,0,prob_search_spread,0.1
13,0,prob_be_infected,0.25
14,0,prob_neighbor_spread,0.1
14,0,prob_search_spread,0.1
14,0,prob_be_infected,0.25
14,0,infected_type,0
14,0,id,not_exposed
15,0,prob_neighbor_spread,0.1
15,0,prob_search_spread,0.1
15,0,prob_be_infected,0.25
16,0,prob_neighbor_spread,0.1
16,0,prob_search_spread,0.1
16,0,prob_be_infected,0.25
16,0,infected_type,0
16,0,id,not_exposed
17,0,prob_neighbor_spread,0.1
17,0,prob_search_spread,0.1
17,0,prob_be_infected,0.25
18,0,prob_neighbor_spread,0.1
18,0,prob_search_spread,0.1
18,0,prob_be_infected,0.25
18,0,infected_type,0
18,0,id,not_exposed
19,0,prob_neighbor_spread,0.1
19,0,prob_search_spread,0.1
19,0,prob_be_infected,0.25
20,0,prob_neighbor_spread,0.1
20,0,prob_search_spread,0.1
20,0,prob_be_infected,0.25
20,0,infected_type,0
20,0,id,not_exposed
21,0,prob_neighbor_spread,0.1
21,0,prob_search_spread,0.1
21,0,prob_be_infected,0.25
21,0,infected_type,0
21,0,id,not_exposed
22,0,prob_neighbor_spread,0.1
22,0,prob_search_spread,0.1
22,0,prob_be_infected,0.25
23,0,prob_neighbor_spread,0.1
23,0,prob_search_spread,0.1
23,0,prob_be_infected,0.25
23,0,infected_type,0
23,0,id,not_exposed
24,0,prob_neighbor_spread,0.1
24,0,prob_search_spread,0.1
24,0,prob_be_infected,0.25
25,0,prob_neighbor_spread,0.1
25,0,prob_search_spread,0.1
25,0,prob_be_infected,0.25
25,0,infected_type,0
25,0,id,not_exposed
26,0,prob_neighbor_spread,0.1
26,0,prob_search_spread,0.1
26,0,prob_be_infected,0.25
26,0,infected_type,0
27,0,prob_neighbor_spread,0.1
27,0,prob_search_spread,0.1
27,0,prob_be_infected,0.25
27,0,infected_type,0
27,0,id,not_exposed
28,0,prob_neighbor_spread,0.1
28,0,prob_search_spread,0.1
28,0,prob_be_infected,0.25
28,0,infected_type,0
28,0,id,not_exposed
29,0,prob_neighbor_spread,0.1
29,0,prob_search_spread,0.1
29,0,prob_be_infected,0.25
29,0,infected_type,0
29,0,id,not_exposed
30,0,prob_neighbor_spread,0.1
30,0,prob_search_spread,0.1
30,0,prob_be_infected,0.25
30,0,infected_type,0
30,0,id,not_exposed
31,0,prob_neighbor_spread,0.1
31,0,prob_search_spread,0.1
31,0,prob_be_infected,0.25
31,0,infected_type,0
31,0,id,not_exposed
32,0,prob_neighbor_spread,0.1
32,0,prob_search_spread,0.1
32,0,prob_be_infected,0.25
33,0,prob_neighbor_spread,0.1
33,0,prob_search_spread,0.1
33,0,prob_be_infected,0.25
33,0,infected_type,0
33,0,id,not_exposed
34,0,prob_neighbor_spread,0.1
34,0,prob_search_spread,0.1
34,0,prob_be_infected,0.25
34,0,infected_type,0
34,0,id,not_exposed
35,0,prob_neighbor_spread,0.1
35,0,prob_search_spread,0.1
35,0,prob_be_infected,0.25
35,0,infected_type,0
35,0,id,not_exposed
36,0,prob_neighbor_spread,0.1
36,0,prob_search_spread,0.1
36,0,prob_be_infected,0.25
37,0,prob_neighbor_spread,0.1
37,0,prob_search_spread,0.1
37,0,prob_be_infected,0.25
37,0,infected_type,0
37,0,id,not_exposed
38,0,prob_neighbor_spread,0.1
38,0,prob_search_spread,0.1
38,0,prob_be_infected,0.25
39,0,prob_neighbor_spread,0.1
39,0,prob_search_spread,0.1
39,0,prob_be_infected,0.25
39,0,infected_type,0
39,0,id,not_exposed
40,0,prob_neighbor_spread,0.1
40,0,prob_search_spread,0.1
40,0,prob_be_infected,0.25
41,0,prob_neighbor_spread,0.1
41,0,prob_search_spread,0.1
41,0,prob_be_infected,0.25
41,0,infected_type,0
41,0,id,not_exposed
42,0,prob_neighbor_spread,0.1
42,0,prob_search_spread,0.1
42,0,prob_be_infected,0.25
42,0,infected_type,0
42,0,id,not_exposed
43,0,prob_neighbor_spread,0.1
43,0,prob_search_spread,0.1
43,0,prob_be_infected,0.25
43,0,infected_type,0
43,0,id,not_exposed
44,0,prob_neighbor_spread,0.1
44,0,prob_search_spread,0.1
44,0,prob_be_infected,0.25
44,0,infected_type,0
44,0,id,not_exposed
45,0,prob_neighbor_spread,0.1
45,0,prob_search_spread,0.1
45,0,prob_be_infected,0.25
46,0,prob_neighbor_spread,0.1
46,0,prob_search_spread,0.1
46,0,prob_be_infected,0.25
46,0,infected_type,0
46,0,id,not_exposed
47,0,prob_neighbor_spread,0.1
47,0,prob_search_spread,0.1
47,0,prob_be_infected,0.25
48,0,prob_neighbor_spread,0.1
48,0,prob_search_spread,0.1
48,0,prob_be_infected,0.25
48,0,infected_type,0
48,0,id,not_exposed
49,0,prob_neighbor_spread,0.1
49,0,prob_search_spread,0.1
49,0,prob_be_infected,0.25
49,0,infected_type,0
49,0,id,not_exposed
50,0,prob_neighbor_spread,0.1
50,0,prob_search_spread,0.1
50,0,prob_be_infected,0.25
50,0,infected_type,0
50,0,id,not_exposed
51,0,prob_neighbor_spread,0.1
51,0,prob_search_spread,0.1
51,0,prob_be_infected,0.25
51,0,infected_type,0
51,0,id,not_exposed
