id;permalink;username;text;date;retweet;favorite;mentions;hashtag;geo
0;https://twitter.com/GiuseppeConteIT/status/1248307501709352961;GiuseppeConteIT;La mia intervista alla @BBCWorld;2020-04-09 17:51:15+00:00;790;4121;@BBCWorld;;
1;https://twitter.com/GiuseppeConteIT/status/1248138079602384896;GiuseppeConteIT;La mia intervista alla Bild:;2020-04-09 06:38:02+00:00;372;1903;;;
2;https://twitter.com/GiuseppeConteIT/status/1247282217199509507;GiuseppeConteIT;My thoughts go to @BorisJohnson and all the British people. I wish you a fast recovery. You have the whole Italian Government's support and my personal one. We are all confident that your Country will get through this difficult time.;2020-04-06 21:57:08+00:00;1727;13601;@BorisJohnson;;
3;https://twitter.com/GiuseppeConteIT/status/1247275007044182016;GiuseppeConteIT;Quando si difende il proprio Paese non si fanno calcoli. Io sono convinto, lo dico con tutta la prudenza che mi contraddistingue, che la storia è con noi. E vedremo alla fine quale piega prenderà.;2020-04-06 21:28:29+00:00;1501;9040;;;
4;https://twitter.com/GiuseppeConteIT/status/1247242023146524672;GiuseppeConteIT;Dal decreto di oggi arrivano 400 miliardi di liquidità per le imprese, con il #CuraItalia ne avevamo liberati 350. Parliamo di 750 miliardi, quasi la metà del nostro Pil. Lo Stato c’è e mette subito la sua potenza di fuoco nel motore dell'economia. Quando si rialza l'Italia corre;2020-04-06 19:17:25+00:00;1756;11139;;#CuraItalia;
5;https://twitter.com/GiuseppeConteIT/status/1247229495028977666;GiuseppeConteIT;In diretta da Palazzo Chigi:;2020-04-06 18:27:38+00:00;256;1530;;;
6;https://twitter.com/GiuseppeConteIT/status/1247209983365783552;GiuseppeConteIT;Ciao Giorgio;2020-04-06 17:10:06+00:00;1980;16433;;;
7;https://twitter.com/GiuseppeConteIT/status/1245417249130807296;GiuseppeConteIT;In diretta da Palazzo Chigi:;2020-04-01 18:26:25+00:00;285;1958;;;
8;https://twitter.com/GiuseppeConteIT/status/1245396782227623937;GiuseppeConteIT;Alle 20.20 conferenza stampa in diretta da @Palazzo_Chigi;2020-04-01 17:05:05+00:00;722;4787;@Palazzo_Chigi;;
9;https://twitter.com/GiuseppeConteIT/status/1245316515722866688;GiuseppeConteIT;Questa sera sarò ospite di @lucasommi72, @AndreaScanzi e @marcotravaglio per una puntata speciale di #AccordiEDisaccordi. Dalle 21.25 sul @nove.;2020-04-01 11:46:08+00:00;556;3395;@lucasommi72 @AndreaScanzi @marcotravaglio @nove;#AccordiEDisaccordi;
10;https://twitter.com/GiuseppeConteIT/status/1245060176354381825;GiuseppeConteIT;In diretta ora: https://www.facebook.com/GiuseppeConte64/videos/855876188151152/;2020-03-31 18:47:32+00:00;223;1459;;;
11;https://twitter.com/GiuseppeConteIT/status/1245052369445978117;GiuseppeConteIT;Stasera andrà in onda sulla tv tedesca “Ard” una mia intervista. Ho lanciato un messaggio ai cittadini tedeschi e formulato alcune considerazioni per affrontare in modo più efficace questa emergenza europea. La potrete seguire sulla mia pagina facebook a partire dalle 20.45;2020-03-31 18:16:31+00:00;726;5571;;;
12;https://twitter.com/GiuseppeConteIT/status/1244719273756557317;GiuseppeConteIT;Long and friendly conversation with President @realDonaldTrump. Very grateful for the solidarity and support from American friends. Let’s keep on working together to win this hard challenge ;2020-03-30 20:12:55+00:00;1233;8845;@realDonaldTrump;;
13;https://twitter.com/GiuseppeConteIT/status/1244220739781353472;GiuseppeConteIT;Grazie ;2020-03-29 11:11:55+00:00;5288;31177;;;
14;https://twitter.com/GiuseppeConteIT/status/1243996019140038656;GiuseppeConteIT;L'Unione europea ha un appuntamento con la storia e la storia non aspetta, bisogna esserne all'altezza. La reazione all'emergenza #Coronavirus deve essere forte, vigorosa e coesa. Mi batterò per i cittadini italiani fino all'ultima goccia di sudore.;2020-03-28 20:18:57+00:00;4970;29120;;#Coronavirus;
15;https://twitter.com/GiuseppeConteIT/status/1243970261931773955;GiuseppeConteIT;Conferenza stampa in diretta da Palazzo Chigi;2020-03-28 18:36:36+00:00;850;3465;;;
16;https://twitter.com/GiuseppeConteIT/status/1243957811597447170;GiuseppeConteIT;Alle 19.20 conferenza stampa in diretta da Palazzo Chigi;2020-03-28 17:47:08+00:00;862;5188;;;
17;https://twitter.com/GiuseppeConteIT/status/1243859246720135169;GiuseppeConteIT;In questa sfida senza precedenti l'Europa deve dimostrarsi all'altezza, con nuovi strumenti di rilancio e di sostegno al tessuto economico e sociale. L'inerzia consegnerebbe ai nostri figli una società devastata. La mia intervista oggi al @sole24ore ;2020-03-28 11:15:28+00:00;788;3994;@sole24ore;;
18;https://twitter.com/GiuseppeConteIT/status/1243180612489445382;GiuseppeConteIT;Siamo nel pieno di una corsa a ostacoli per il nostro Paese. E quando per lavoratori e famiglie l’ostacolo si fa troppo alto, c’è lo Stato che li aiuta a superarlo. Tutti insieme dobbiamo lavorare per far rialzare l’Italia. Subito. https://www.facebook.com/383458618802776/posts/882331072248859/;2020-03-26 14:18:49+00:00;900;6286;;;
