id;permalink;username;text;date;retweet;favorite;mentions;hashtag;geo
0;https://twitter.com/MinisteroSalute/status/1248293754160721922;MinisteroSalute;L’aggiornamento della situazione alle ore 18 del #9aprile: http://bit.ly/covid19-Italia #coronavirus #covid19italia #COVID19;2020-04-09 16:56:37+00:00;51;87;;#9aprile #coronavirus #covid19italia #COVID19;
1;https://twitter.com/MinisteroSalute/status/1248266228675772417;MinisteroSalute;Detergenti, disinfettanti, igienizzanti. Ecco alcuni consigli da seguire: Non mescolare più prodotti insieme Arieggia i locali Fa' attenzione all’etichetta Non lasciare i prodotti incustoditi Per saperne di più https://bit.ly/Covid19-Disinfettanti #covid19italia #covid19;2020-04-09 15:07:15+00:00;103;160;;#covid19italia #covid19;
2;https://twitter.com/MinisteroSalute/status/1248260590281412610;MinisteroSalute; Cos’è R con zero? Il valore R0=1 indica che un singolo malato contagerà una persona Ora il valore è di poco inferiore a 1, ma la sfida non è ancora vinta #iorestoacasa Per saperne di più https://bit.ly/RconZero #COVID19italia #covid19 #COVID;2020-04-09 14:44:50+00:00;129;238;;#iorestoacasa #iorestoacasa #COVID19italia #covid19 #COVID;
3;https://twitter.com/MinisteroSalute/status/1248223485580771328;MinisteroSalute; @FederAnziani_FA ha attivato un sostegno psicologico per gli anziani, che in questo momento sono più soggetti ad ansia e depressione, che influiscono sullo stato di salute. Il numero verde 800 99 14 14, risponde tutti i giorni dalle 14 alle 19. https://bit.ly/Covid19_AnzianiSoli;2020-04-09 12:17:24+00:00;94;123;@FederAnziani_FA;;
4;https://twitter.com/MinisteroSalute/status/1247970382080073738;MinisteroSalute;"Pronto il nuovo Hub Covid-Hospital al Policlinico Militare del Celio. @robersperanza: ""Questo ospedale è uno dei tasselli per le prossime settimane nella battaglia contro il virus. Grazie al Ministro @guerini_lorenzo e al @SM_Difesa per il loro lavoro"". https://bit.ly/hubCovidHospitalCelio";2020-04-08 19:31:39+00:00;65;173;@robersperanza @guerini_lorenzo @SM_Difesa;;
5;https://twitter.com/MinisteroSalute/status/1247934756844601344;MinisteroSalute;L’aggiornamento della situazione alle ore 18 del #8aprile: http://bit.ly/covid19-Italia #coronavirus #covid19italia #COVID19;2020-04-08 17:10:06+00:00;33;72;;#8aprile #coronavirus #covid19italia #COVID19;
6;https://twitter.com/MinisteroSalute/status/1247930526620680193;MinisteroSalute; Attenzione al contagio interfamiliare Ecco alcune raccomandazioni da seguire se si vive nello stesso luogo, o si assiste una persona in isolamento domiciliare infetta #COVID19. Per saperne di più https://bit.ly/IsolamentoDomiciliareISS Per altre informazioni puoi chiamare il 1500;2020-04-08 16:53:17+00:00;274;411;;#COVID19;
7;https://twitter.com/MinisteroSalute/status/1247892274010152963;MinisteroSalute; L'ospedale pediatrico @bambinogesu si mette a disposizione con un servizio di ambulatorio a distanza: il numero per le famiglie 0668593024 risponde tutti i giorni, dalle 9 alle 19. Istituito anche un numero dedicato per i pediatri. Tutte le info https://bit.ly/AmbPediatricoDistanza;2020-04-08 14:21:17+00:00;67;96;@bambinogesu;;
8;https://twitter.com/MinisteroSalute/status/1247836198053335040;MinisteroSalute; Anche in emergenza #Covid19 è bene fare attenzione a ciò che mangiamo. È importante adottare un’alimentazione varia e bilanciata perché contribuisce a: mantenersi in salute evitare aumento di peso e le patologie croniche correlate Leggi l'articolo https://bit.ly/COVID19StiliVita;2020-04-08 10:38:27+00:00;159;320;;#Covid19;
9;https://twitter.com/MinisteroSalute/status/1247572610373890048;MinisteroSalute; Chi riscuote la pensione in contanti presso gli Uffici Postali, a partire dai 75 anni di età, potrà delegare al ritiro i @_Carabinieri_ che la consegneranno a domicilio al titolare. Per info: chiama il Numero Verde 800 55 66 70 http://bit.ly/PensioniPosteCarabinieri #iorestoacasa @PosteNews;2020-04-07 17:11:03+00:00;172;343;@_Carabinieri_ @PosteNews;#iorestoacasa #iorestoacasa;
10;https://twitter.com/MinisteroSalute/status/1247566180124147713;MinisteroSalute;L’aggiornamento della situazione alle ore 18 del #7aprile: http://bit.ly/covid19-Italia #coronavirus #covid19italia #COVID19;2020-04-07 16:45:30+00:00;45;73;;#7aprile #coronavirus #covid19italia #COVID19;
