id;permalink;username;text;date;retweet;favorite;mentions;hashtag;geo
0;https://twitter.com/DPCgov/status/1248285423425785857;DPCgov; #Coronavirus #9aprile ore 18 Facciamo il punto della situazione sulle attività messe in campo per fronteggiare l'emergenza con il Capo Dipartimento Borrelli. Segui la diretta ;2020-04-09 16:23:31+00:00;32;50;;#Coronavirus #9aprile;
1;https://twitter.com/DPCgov/status/1248260664545738753;DPCgov;#9aprile L'arrivo a Linate del nuovo nucleo della Taskforce #Coronavirus. I 73 dottori andranno a supportare le attività negli ospedali di Lombardia, Emilia-Romagna, Piemonte, Liguria e Valle d'Aosta. Altri 12 medici della Taskforce sono in arrivo nelle Marche. Reg. Lombardia;2020-04-09 14:45:08+00:00;71;207;;#9aprile #Coronavirus;
2;https://twitter.com/DPCgov/status/1248256897024737281;DPCgov; Ogni giorno la Rete dei centri funzionali: elabora previsioni meteo monitora i fenomeni e il loro impatto sul territorio valuta le allerte e i livelli di criticità meteo-idro Domani, #10aprile, il bollettino è VERDE #protezionecivile;2020-04-09 14:30:10+00:00;5;17;;#10aprile #protezionecivile;
3;https://twitter.com/DPCgov/status/1247948653051940865;DPCgov;#Coronavirus Arrivati 2 team medici da Romania e Norvegia e disinfettante dall’Austria grazie al Meccanismo Europeo di #ProtezioneCivile. Il Meccanismo è un network di 34 strutture di protezione civile, tra cui l’Italia, che interviene per affrontare le emergenze @AmbasciataRO;2020-04-08 18:05:19+00:00;128;409;@AmbasciataRO;#Coronavirus #ProtezioneCivile;
4;https://twitter.com/DPCgov/status/1247919389145522176;DPCgov; #Coronavirus #8aprile ore 18 Segui la diretta della conferenza stampa del Capo Dipartimento Borrelli per un aggiornamento sull’emergenza ;2020-04-08 16:09:02+00:00;27;54;;#Coronavirus #8aprile;
5;https://twitter.com/DPCgov/status/1247894901221519360;DPCgov;Il Bollettino di criticità e allerta meteo-idro per giovedì #9aprile: rischio idraulico VERDE rischio idrogeologico VERDE rischio temporali VERDE #protezionecivile;2020-04-08 14:31:43+00:00;6;19;;#9aprile #protezionecivile;
6;https://twitter.com/DPCgov/status/1247557981136474112;DPCgov; #7aprile ore 18 Come ogni giorno facciamo il punto della situazione sull'emergenza #Coronavirus con il Capo Dipartimento Borrelli. Segui la diretta ;2020-04-07 16:12:55+00:00;23;73;;#7aprile #Coronavirus;
7;https://twitter.com/DPCgov/status/1247532212917944321;DPCgov;Per domani, #8aprile, non sono previsti fenomeni meteo-idro significativi ai fini di #protezionecivile;2020-04-07 14:30:32+00:00;8;26;;#8aprile #protezionecivile;
8;https://twitter.com/DPCgov/status/1247193728747540484;DPCgov; #6aprile ore 18 L’aggiornamento quotidiano sull’emergenza #Coronavirus con il Capo Dipartimento Borrelli. Anche oggi sarà presente l'interprete LIS per la traduzione in lingua dei segni. Segui la diretta ;2020-04-06 16:05:31+00:00;38;61;;#6aprile #Coronavirus;
9;https://twitter.com/DPCgov/status/1247178973961994242;DPCgov; L’allerta meteo-idro non è una previsione del tempo ma una valutazione degli scenari e dei livelli di rischio sul territorio. II colore VERDE indica per domani, #7aprile, l'assenza di fenomeni significativi previsti e prevedibili #protezionecivile;2020-04-06 15:06:53+00:00;6;26;;#7aprile #protezionecivile;
10;https://twitter.com/DPCgov/status/1247171592876101638;DPCgov;#Coronavirus #6aprile Sono arrivati oggi in Italia dispositivi di protezione e attrezzature mediche grazie all'impegno congiunto della Commissione Europea e della Cina. Insieme siamo più forti!;2020-04-06 14:37:33+00:00;162;543;;#Coronavirus #6aprile;
