,0
0,0.8869782981193468
1,1.1546676899155496e-07
2,5.02029430398065e-09
3,4.468061930542776e-07
4,5.02029430398065e-09
5,5.02029430398065e-09
6,5.02029430398065e-09
7,5.02029430398065e-09
8,1.1546676899155496e-07
9,3.3635971836670344e-07
10,5.02029430398065e-09
11,5.02029430398065e-09
12,5.02029430398065e-09
13,1.1546676899155496e-07
14,5.02029430398065e-09
15,1.1546676899155496e-07
16,5.02029430398065e-09
17,1.1546676899155496e-07
18,5.02029430398065e-09
19,2.2591324367912937e-07
20,5.02029430398065e-09
21,5.02029430398065e-09
22,1.1546676899155496e-07
23,5.02029430398065e-09
24,9.990385664921505e-07
25,5.02029430398065e-09
26,5.02029430398065e-09
27,5.02029430398065e-09
28,5.02029430398065e-09
29,5.02029430398065e-09
30,5.02029430398065e-09
31,5.02029430398065e-09
32,3.3635971836670344e-07
33,5.02029430398065e-09
34,5.02029430398065e-09
35,5.02029430398065e-09
36,1.1546676899155496e-07
37,5.02029430398065e-09
38,1.1546676899155496e-07
39,5.02029430398065e-09
40,0.3053211765187928
41,5.02029430398065e-09
42,5.02029430398065e-09
43,5.02029430398065e-09
44,5.02029430398065e-09
45,0.30532126186379605
46,5.02029430398065e-09
47,8.840738269309815e-06
48,5.02029430398065e-09
49,5.02029430398065e-09
50,5.02029430398065e-09
51,5.02029430398065e-09
52,5.02029430398065e-09
53,5.02029430398065e-09
54,5.02029430398065e-09
55,5.02029430398065e-09
56,5.02029430398065e-09
57,5.02029430398065e-09
58,5.02029430398065e-09
59,5.02029430398065e-09
60,5.02029430398065e-09
61,5.02029430398065e-09
62,5.02029430398065e-09
63,5.02029430398065e-09
64,5.02029430398065e-09
65,5.02029430398065e-09
66,5.02029430398065e-09
67,5.02029430398065e-09
68,5.02029430398065e-09
69,5.02029430398065e-09
70,5.02029430398065e-09
71,5.02029430398065e-09
72,5.02029430398065e-09
73,5.02029430398065e-09
74,5.02029430398065e-09
75,5.02029430398065e-09
76,5.02029430398065e-09
77,5.02029430398065e-09
78,5.02029430398065e-09
79,5.02029430398065e-09
80,5.02029430398065e-09
81,5.02029430398065e-09
82,5.02029430398065e-09
83,5.02029430398065e-09
84,5.02029430398065e-09
85,5.02029430398065e-09
86,5.02029430398065e-09
87,5.02029430398065e-09
88,5.02029430398065e-09
89,5.02029430398065e-09
90,5.02029430398065e-09
91,5.02029430398065e-09
92,5.02029430398065e-09
93,5.02029430398065e-09
94,5.02029430398065e-09
95,5.02029430398065e-09
96,5.02029430398065e-09
97,5.02029430398065e-09
98,5.02029430398065e-09
99,5.02029430398065e-09
100,5.02029430398065e-09
101,5.02029430398065e-09
102,5.02029430398065e-09
103,5.02029430398065e-09
104,5.02029430398065e-09
105,5.02029430398065e-09
106,5.02029430398065e-09
107,5.02029430398065e-09
108,5.02029430398065e-09
109,5.02029430398065e-09
110,5.02029430398065e-09
111,5.02029430398065e-09
112,5.02029430398065e-09
113,5.02029430398065e-09
114,5.02029430398065e-09
115,5.02029430398065e-09
116,5.02029430398065e-09
117,5.02029430398065e-09
118,5.02029430398065e-09
119,5.02029430398065e-09
120,5.02029430398065e-09
121,5.02029430398065e-09
122,5.02029430398065e-09
123,5.02029430398065e-09
124,5.02029430398065e-09
125,5.02029430398065e-09
126,5.02029430398065e-09
127,5.02029430398065e-09
128,1.1546676899155496e-07
129,5.02029430398065e-09
130,1.1546676899155496e-07
131,5.02029430398065e-09
132,7.499817660716383e-05
133,5.02029430398065e-09
134,5.02029430398065e-09
135,5.02029430398065e-09
136,5.02029430398065e-09
137,5.02029430398065e-09
138,5.02029430398065e-09
139,5.02029430398065e-09
140,5.02029430398065e-09
141,5.02029430398065e-09
142,5.02029430398065e-09
143,5.02029430398065e-09
144,5.02029430398065e-09
145,5.02029430398065e-09
146,5.02029430398065e-09
147,5.02029430398065e-09
148,5.02029430398065e-09
149,5.02029430398065e-09
150,5.02029430398065e-09
151,5.02029430398065e-09
152,5.02029430398065e-09
153,5.02029430398065e-09
154,5.02029430398065e-09
155,5.02029430398065e-09
156,5.02029430398065e-09
157,5.02029430398065e-09
158,5.02029430398065e-09
159,5.02029430398065e-09
160,5.02029430398065e-09
161,5.02029430398065e-09
162,5.02029430398065e-09
163,5.02029430398065e-09
164,5.02029430398065e-09
165,5.02029430398065e-09
166,5.02029430398065e-09
167,5.02029430398065e-09
168,5.02029430398065e-09
169,5.02029430398065e-09
170,5.02029430398065e-09
171,5.02029430398065e-09
172,5.02029430398065e-09
173,5.02029430398065e-09
174,5.02029430398065e-09
175,5.02029430398065e-09
176,5.02029430398065e-09
177,5.02029430398065e-09
178,5.02029430398065e-09
179,5.02029430398065e-09
180,5.02029430398065e-09
181,5.02029430398065e-09
182,5.02029430398065e-09
183,5.02029430398065e-09
184,5.02029430398065e-09
185,5.02029430398065e-09
186,5.02029430398065e-09
187,5.02029430398065e-09
188,5.02029430398065e-09
189,5.02029430398065e-09
190,5.02029430398065e-09
191,5.02029430398065e-09
192,5.02029430398065e-09
193,5.02029430398065e-09
194,5.02029430398065e-09
195,5.02029430398065e-09
196,5.02029430398065e-09
197,5.02029430398065e-09
198,5.02029430398065e-09
199,5.02029430398065e-09
200,5.02029430398065e-09
201,5.02029430398065e-09
202,5.02029430398065e-09
203,5.02029430398065e-09
204,5.02029430398065e-09
205,5.02029430398065e-09
206,5.02029430398065e-09
207,5.02029430398065e-09
208,5.02029430398065e-09
209,5.02029430398065e-09
210,5.02029430398065e-09
211,5.02029430398065e-09
212,5.02029430398065e-09
213,5.02029430398065e-09
214,5.02029430398065e-09
215,5.02029430398065e-09
216,5.02029430398065e-09
217,5.02029430398065e-09
218,5.02029430398065e-09
219,5.02029430398065e-09
220,5.02029430398065e-09
221,5.02029430398065e-09
222,5.02029430398065e-09
223,5.02029430398065e-09
224,5.02029430398065e-09
225,5.02029430398065e-09
226,5.02029430398065e-09
227,5.02029430398065e-09
228,5.02029430398065e-09
229,5.02029430398065e-09
230,5.02029430398065e-09
231,5.02029430398065e-09
232,5.02029430398065e-09
233,5.02029430398065e-09
234,5.02029430398065e-09
235,5.02029430398065e-09
236,5.02029430398065e-09
237,5.02029430398065e-09
238,5.02029430398065e-09
239,5.02029430398065e-09
240,5.02029430398065e-09
241,5.02029430398065e-09
242,5.02029430398065e-09
243,5.02029430398065e-09
244,5.02029430398065e-09
245,5.02029430398065e-09
246,5.02029430398065e-09
247,5.02029430398065e-09
248,5.02029430398065e-09
249,5.02029430398065e-09
250,5.02029430398065e-09
251,5.02029430398065e-09
252,5.02029430398065e-09
253,5.02029430398065e-09
254,5.02029430398065e-09
255,5.02029430398065e-09
256,5.02029430398065e-09
257,5.02029430398065e-09
258,5.02029430398065e-09
259,5.02029430398065e-09
260,5.02029430398065e-09
261,5.02029430398065e-09
262,5.02029430398065e-09
263,5.02029430398065e-09
264,5.02029430398065e-09
265,5.02029430398065e-09
266,5.02029430398065e-09
267,5.02029430398065e-09
268,5.02029430398065e-09
269,5.02029430398065e-09
270,5.02029430398065e-09
271,5.02029430398065e-09
272,5.02029430398065e-09
273,5.02029430398065e-09
274,5.02029430398065e-09
275,5.02029430398065e-09
276,5.02029430398065e-09
277,5.02029430398065e-09
278,5.02029430398065e-09
279,5.02029430398065e-09
280,5.02029430398065e-09
281,5.02029430398065e-09
282,5.02029430398065e-09
283,5.02029430398065e-09
284,5.02029430398065e-09
285,5.02029430398065e-09
286,5.02029430398065e-09
287,5.02029430398065e-09
288,5.02029430398065e-09
289,5.02029430398065e-09
290,5.02029430398065e-09
291,5.02029430398065e-09
292,5.02029430398065e-09
293,5.02029430398065e-09
294,5.02029430398065e-09
295,5.02029430398065e-09
296,5.02029430398065e-09
297,5.02029430398065e-09
298,5.02029430398065e-09
299,5.02029430398065e-09
300,5.02029430398065e-09
301,5.02029430398065e-09
302,5.02029430398065e-09
