id;permalink;username;text;date;retweet;favorite;mentions;hashtag;geo
0;https://twitter.com/La7tv/status/1223349105990283265;La7tv;#propagandalive L'On. Avv. Dott. Barbazzi spiega in maniera chiara il #coronavirus @metix60;2020-01-31 20:55:30+00:00;4;11;@metix60;#propagandalive #coronavirus;
1;https://twitter.com/La7tv/status/1223341181733609472;La7tv;"#ottoemezzo Il monito di @matteorenzi al governo Conte: ""PIL -0,3%, abbiamo perso in casa. Il governo deve cambiare passo sbloccando i cantieri. Il #Coronavirus avrà effetti di natura economica"" ";2020-01-31 20:24:00+00:00;0;4;@matteorenzi;#ottoemezzo #Coronavirus;
2;https://twitter.com/La7tv/status/1223338600798085120;La7tv;"#ottoemezzo @matteorenzi non critica la Cina per la gestione del #Coronavirus: ""Stanno agendo meglio che in passato, invito tutti a non creare falsi allarmismi a cominciare dai politici fino ad arrivare ai giornalisti"" #coronavirusitalia";2020-01-31 20:13:45+00:00;3;16;@matteorenzi;#ottoemezzo #Coronavirus #coronavirusitalia;
3;https://twitter.com/La7tv/status/1223337064936112136;La7tv;"#ottoemezzo #Coronavirus, attacco di @MassimGiannini a Salvini: ""Ha solo questa cifra, aumentare le paure. Esprimo anche qualche perplessità sui suoi elettori, si aspettano questo da lui. E sono preoccupato, da cittadino più che da giornalista""";2020-01-31 20:07:39+00:00;6;40;@MassimGiannini;#ottoemezzo #Coronavirus;
4;https://twitter.com/La7tv/status/1223333896777084929;La7tv;"#ottoemezzo @beppesevergnini lancia un appello agli elettori della Lega e a @matteosalvinimi stesso dopo le sue critiche al governo sulla gestione dell'emergenza #Coronavirus: ""Da Salvini un concentrato di sciocchezze. Elettori della Lega, pensateci!"" ";2020-01-31 19:55:04+00:00;9;57;@beppesevergnini @matteosalvinimi;#ottoemezzo #Coronavirus;
5;https://twitter.com/La7tv/status/1223332745302114310;La7tv;"#ottoemezzo Durissimo commento di @matteorenzi alle critiche di @matteosalvinimi al governo sulla gestione dell'emergenza #Coronavirus: ""Il governo sta facendo bene, Salvini è un irresponsabile, non si soffia sul fuoco delle paure"" ";2020-01-31 19:50:29+00:00;3;53;@matteorenzi @matteosalvinimi;#ottoemezzo #Coronavirus;
6;https://twitter.com/La7tv/status/1223280222226866178;La7tv;"#lariachetira #Coronavirus, @PSenaldi (Direttore Libero) contro il governo: ""Ci dovrebbe essere un'autorità italiana al #Palatino""";2020-01-31 16:21:47+00:00;1;2;@PSenaldi;#lariachetira #Coronavirus #Palatino;
7;https://twitter.com/La7tv/status/1223279391125491717;La7tv;"#lariachetira #Coronavirus, @GiorgioMule (Forza Italia): ""Serve uno screening completo, altrimenti succede che l'epidemia va avanti""";2020-01-31 16:18:28+00:00;2;5;@giorgiomule;#lariachetira #Coronavirus;
8;https://twitter.com/La7tv/status/1223276557369774080;La7tv;"#lariachetira #Coronavirus, @ale_moretti (PD): ""Non dobbiamo creare nei cittadini allarmismi o atteggiamenti che possano fomentare gesti di discriminazione intollerabili""";2020-01-31 16:07:13+00:00;1;13;@ale_moretti;#lariachetira #Coronavirus;
9;https://twitter.com/La7tv/status/1223276057979162624;La7tv;#lariachetira #Coronavirus, ci sono 60 italiani che torneranno domenica da #Wuan: staranno 14 giorni a Roma in quarantena, avranno 3 controlli medici al giorno e staranno in stanze singole con PC e TV;2020-01-31 16:05:14+00:00;2;5;;#lariachetira #Coronavirus #Wuan;
